,std_resid,resid_sign
1,-2.821999071,-1
2,-1.129060484,-1
3,-1.531514633,-1
4,-1.127667038,-1
5,-0.568867926,-1
6,-0.393647112,-1
7,-0.835698703,-1
8,-1.054190836,-1
9,0.061072789,1
10,-0.815429406,-1
11,-1.940827679,-1
12,0.236492666,1
13,-0.302037149,-1
14,0.419513529,1
15,-0.487392611,-1
16,-0.594005483,-1
17,-1.084196654,-1
18,-0.542934114,-1
19,-0.22523103,-1
20,-0.052344815,-1
21,0.493985049,1
22,-0.95651823,-1
23,0.468847492,1
24,-0.6107458,-1
25,0.044929664,1
26,0.720874424,1
27,0.078265399,1
28,0.207880294,1
29,0.934498296,1
30,-0.848910038,-1
31,0.014923846,1
32,-0.442329718,-1
33,-0.020547424,-1
34,-0.109424662,-1
35,-4.108158273,-1
36,-2.200202367,-1
37,-0.729230728,-1
38,-0.137294945,-1
39,0.515647792,1
40,-0.233773169,-1
41,1.747858002,1
42,-1.422712059,-1
43,-2.525307373,-1
44,-1.509055635,-1
45,-0.558878175,-1
46,0.315090358,1
47,0.012788311,1
48,-0.734098988,-1
49,0.302422047,1
50,0.005187325,1
51,-0.218372133,-1
52,0.368496326,1
53,0.510779532,1
54,-0.891584167,-1
55,-1.115143624,-1
56,-1.40477736,-1
57,-1.25742683,-1
58,-2.362555807,-1
59,0.726738003,1
60,0.292287399,1
61,0.663197386,1
62,-0.665491047,-1
63,0.805480592,1
64,1.318673786,1
65,0.363429002,1
66,0.012788311,1
67,-0.782437632,-1
68,0.1829418,1
69,0.198143773,1
70,-1.417644735,-1
71,-2.433896473,-1
72,-2.720996547,-1
73,0.020190234,1
74,-0.414260371,-1
75,0.622260665,1
76,-0.467666339,-1
77,-1.090205131,-1
78,-2.154795513,-1
79,-1.603597388,-1
80,-1.499518177,-1
81,-0.14295946,-1
82,0.62926446,1
83,0.080400933,1
84,-0.321112063,-1
85,0.230086062,1
86,-2.104719462,-1
87,-0.699822101,-1
88,-0.544870585,-1
89,-0.760829056,-1
90,-0.605877539,-1
91,-1.337562866,-1
92,-0.885376627,-1
93,-3.314126713,-1
94,-2.567239413,-1
95,-2.046445233,-1
96,-0.999789549,-1
97,-0.235166615,-1
98,-0.59087463,-1
99,-0.941515321,-1
100,-0.179426049,-1
101,1.326544524,1
102,1.207522138,1
103,0.702137455,1
104,0.51260809,1
105,0.228938113,1
106,0.554484096,1
107,0.763786887,1
108,0.746203882,1
109,0.690197898,1
110,1.108013812,1
111,1.287820554,1
112,1.009099668,1
113,1.202107997,1
114,1.193570156,1
115,1.218595502,1
116,-0.043825612,-1
117,-0.24089261,-1
118,-0.107265471,-1
119,0.289162718,1
120,0.536551265,1
121,0.609600965,1
122,1.181953354,1
123,0.822085912,1
124,0.485009968,1
125,0.846978548,1
126,0.917520517,1
127,-0.695345232,-1
128,-0.532403624,-1
129,0.04531591,1
130,0.122354912,1
131,0.402358323,1
132,0.19694954,1
133,0.437737301,1
134,0.321557445,1
135,0.689997117,1
136,0.831706638,1
137,0.818334933,1
138,1.129238166,1
139,1.034056936,1
140,0.713730907,1
141,0.916577083,1
142,1.141473953,1
143,1.245215939,1
144,1.316239308,1
145,1.175241635,1
146,1.162403211,1
147,1.254958483,1
148,1.407376337,1
149,0.806617381,1
150,0.920560369,1
151,0.577612963,1
152,0.644180104,1
153,1.02166494,1
154,1.138804574,1
155,0.937477391,1
156,0.936606898,1
157,0.784344688,1
158,1.1461721,1
159,-0.231633179,-1
160,-0.539535824,-1
161,-0.175330387,-1
162,0.345308148,1
163,0.044798973,1
164,-0.090580619,-1
165,0.193988801,1
166,0.241237968,1
167,0.15817186,1
168,0.2029133,1
169,0.767500607,1
170,0.645244784,1
171,0.815182298,1
172,0.843629281,1
173,0.950559451,1
174,0.792258666,1
175,0.972227063,1
176,0.223136559,1
177,0.639582356,1
178,0.792055098,1
179,0.55467789,1
180,0.40928696,1
181,0.10213385,1
182,0.058720331,1
183,0.096151862,1
184,0.380503328,1
185,0.292758338,1
186,0.489813214,1
187,0.764011518,1
188,0.917813594,1
189,0.730912536,1
190,0.71335679,1
191,0.650553587,1
192,0.655208223,1
193,0.970251327,1
194,1.191511237,1
195,0.890826872,1
196,0.722344636,1
197,0.86520322,1
198,0.337401291,1
199,-0.136402093,-1
200,0.077615953,1
201,0.435067306,1
202,0.266279524,1
203,0.30672949,1
204,0.258769137,1
205,0.247323019,1
206,0.242309921,1
207,0.112246626,1
208,0.185544915,1
209,0.463121432,1
210,0.259832593,1
211,0.087038299,1
212,-0.127517436,-1
213,-0.249889145,-1
214,-0.336267778,-1
215,-0.191072618,-1
216,0.196657024,1
217,0.000770763,1
218,-0.08142213,-1
219,-0.270659758,-1
220,-0.082482287,-1
221,0.077806387,1
222,0.099172214,1
223,0.331357102,1
224,0.007078133,1
225,0.467009534,1
226,0.532778262,1
227,0.455077976,1
228,0.622410772,1
229,0.465033392,1
230,0.458690309,1
231,0.259102427,1
232,0.632600308,1
233,0.787929461,1
234,0.320738991,1
235,0.459572555,1
236,0.393301189,1
237,0.170820403,1
238,0.144944777,1
239,0.329457004,1
240,0.064172479,1
241,0.010767166,1
242,0.219627944,1
243,0.096123331,1
244,0.626747275,1
245,0.43955853,1
246,0.452371012,1
247,0.615211207,1
248,0.753145327,1
249,0.343780025,1
250,0.681481911,1
251,0.30440807,1
252,0.504229412,1
253,0.183382232,1
254,0.261226039,1
255,0.208754566,1
256,0.290803287,1
257,-0.040269147,-1
258,0.375905496,1
259,0.410891331,1
260,0.181580708,1
261,0.202981591,1
262,0.096510918,1
263,0.101560383,1
264,0.303843958,1
265,0.437393936,1
266,0.375578798,1
267,-0.01211447,-1
268,-0.231415442,-1
269,-0.271685519,-1
270,-0.101334287,-1
271,-0.255998773,-1
272,0.301884358,1
273,0.316672982,1
274,0.407976079,1
275,0.348658236,1
276,-1.724401693,-1
277,-1.977017908,-1
278,-2.752638561,-1
279,-2.078869002,-1
280,-1.107972524,-1
281,-0.648903537,-1
282,-0.497132491,-1
283,0.025961891,1
284,0.274247535,1
285,0.106681279,1
286,0.126465797,1
287,0.245514181,1
288,0.231839285,1
289,0.259530341,1
290,0.303322151,1
291,0.117354933,1
292,-0.165234681,-1
293,0.047399804,1
294,0.013743302,1
295,-0.841500208,-1
296,-0.906118179,-1
297,-0.970951752,-1
298,-0.827805476,-1
299,-0.502429981,-1
300,-0.454271226,-1
301,-0.057322916,-1
302,0.103972343,1
303,0.237163198,1
304,-0.080340821,-1
305,0.163847711,1
306,-0.461745234,-1
307,-0.698314921,-1
308,-0.420217914,-1
309,-0.246092969,-1
310,-0.325949947,-1
311,-0.05626276,-1
312,0.447082816,1
313,0.029271973,1
314,-0.307082726,-1
315,-0.053514157,-1
316,0.218581031,1
317,0.380594528,1
318,0.155381677,1
319,0.256765851,1
320,0.385931025,1
321,0.202191928,1
322,0.145695434,1
323,0.236765071,1
324,0.354878955,1
325,0.464044004,1
326,0.302281825,1
327,0.717486916,1
328,-0.058529227,-1
329,-0.237452318,-1
330,-1.573723884,-1
331,-1.405330931,-1
332,-1.368295551,-1
333,-0.962039295,-1
334,-0.651416047,-1
335,-0.444263551,-1
336,0.047724529,1
337,0.084183865,1
338,-0.086276486,-1
339,-0.258838641,-1
340,0.146123343,1
341,0.471300434,1
342,0.485154563,1
343,0.391963952,1
344,0.574947782,1
345,0.585531491,1
346,0.326355932,1
347,0.257568103,1
348,0.653671196,1
349,0.644560331,1
350,0.639672235,1
351,0.361970057,1
352,0.650830667,1
353,0.757928979,1
354,0.574728882,1
355,0.285632835,1
356,0.429531745,1
357,0.638192799,1
358,0.776521092,1
359,-1.404734335,-1
360,-5.217681278,-1
361,-5.516533682,-1
362,-4.384935837,-1
363,-2.605875932,-1
364,-1.891208002,-1
365,-0.87921541,-1
366,-0.679142093,-1
367,-0.234880245,-1
368,-0.302661489,-1
369,-0.188051479,-1
370,-0.389184953,-1
371,-0.482015787,-1
372,-0.117970033,-1
373,-0.1780782,-1
374,-0.223756864,-1
375,-0.098455343,-1
376,-0.709151865,-1
377,-0.959145129,-1
378,-0.430714251,-1
379,-0.548505391,-1
380,-0.765452589,-1
381,-0.456250596,-1
382,-0.371039263,-1
383,-0.077542536,-1
384,-0.075278707,-1
