YEAR,MON,GLOBAL,NH,SH,TRPC,NO.DAYS,GLOBAL,NH,SH,TRPC,DAYS
2006,1,0.368,0.444,0.291,0.144,31.,0.328,0.428,0.228,0.263,365.
2006,2,0.438,0.753,0.122,0.305,28.,0.331,0.451,0.211,0.237,365.
2006,3,0.325,0.441,0.209,-0.014,31.,0.329,0.442,0.216,0.193,365.
2006,4,0.183,0.207,0.159,-0.117,30.,0.310,0.411,0.209,0.154,365.
2006,5,-0.011,0.205,-0.227,-0.248,31.,0.290,0.411,0.170,0.124,365.
2006,6,0.154,0.349,-0.042,-0.038,30.,0.283,0.405,0.160,0.108,365.
2006,7,0.206,0.321,0.091,0.215,31.,0.273,0.396,0.149,0.101,365.
2006,8,0.256,0.277,0.235,0.232,31.,0.278,0.394,0.162,0.100,365.
2006,9,0.274,0.390,0.158,0.049,30.,0.271,0.391,0.152,0.085,365.
2006,10,0.341,0.338,0.343,0.247,31.,0.267,0.381,0.153,0.098,365.
2006,11,0.288,0.315,0.260,0.165,30.,0.258,0.367,0.148,0.092,365.
2006,12,0.308,0.541,0.075,0.415,31.,0.260,0.380,0.140,0.112,365.
2007,1,0.594,0.762,0.425,0.582,31.,0.279,0.407,0.151,0.150,365.
2007,2,0.450,0.744,0.156,0.401,28.,0.280,0.406,0.154,0.157,365.
2007,3,0.403,0.612,0.194,0.152,31.,0.286,0.420,0.152,0.171,365.
2007,4,0.244,0.344,0.144,0.009,30.,0.291,0.432,0.151,0.182,365.
2007,5,0.199,0.234,0.165,0.001,31.,0.309,0.434,0.185,0.203,365.
2007,6,0.203,0.375,0.030,-0.021,30.,0.313,0.436,0.191,0.204,365.
2007,7,0.255,0.317,0.193,0.074,31.,0.318,0.436,0.199,0.192,365.
2007,8,0.286,0.325,0.247,0.110,31.,0.320,0.440,0.200,0.182,365.
2007,9,0.201,0.240,0.162,0.075,30.,0.314,0.428,0.201,0.184,365.
2007,10,0.231,0.241,0.221,-0.129,31.,0.305,0.419,0.190,0.152,365.
2007,11,0.209,0.165,0.254,-0.052,30.,0.298,0.407,0.190,0.134,365.
2007,12,0.114,0.150,0.077,-0.179,31.,0.282,0.374,0.190,0.084,365.
2008,1,-0.046,-0.114,0.022,-0.212,31.,0.227,0.299,0.156,0.016,365.
2008,2,0.020,0.247,-0.208,-0.325,29.,0.194,0.260,0.127,-0.041,365.
2008,3,0.089,0.424,-0.246,-0.489,31.,0.166,0.244,0.089,-0.096,365.
2008,4,0.015,0.167,-0.137,-0.532,30.,0.148,0.231,0.066,-0.139,365.
2008,5,-0.183,-0.051,-0.315,-0.581,31.,0.116,0.206,0.026,-0.188,365.
2008,6,-0.114,0.006,-0.233,-0.333,30.,0.089,0.176,0.003,-0.215,365.
2008,7,0.047,0.095,-0.001,-0.117,31.,0.072,0.157,-0.013,-0.231,365.
2008,8,-0.007,0.171,-0.185,-0.090,31.,0.047,0.144,-0.050,-0.248,365.
2008,9,0.161,0.218,0.105,-0.008,30.,0.044,0.143,-0.054,-0.255,365.
2008,10,0.166,0.261,0.072,0.081,31.,0.038,0.144,-0.067,-0.236,365.
2008,11,0.251,0.339,0.163,0.118,30.,0.042,0.158,-0.074,-0.222,365.
2008,12,0.182,0.411,-0.046,0.003,31.,0.048,0.181,-0.085,-0.207,365.
2009,1,0.304,0.443,0.165,-0.036,31.,0.079,0.228,-0.071,-0.192,365.
2009,2,0.347,0.678,0.016,0.051,28.,0.103,0.261,-0.054,-0.163,365.
2009,3,0.206,0.310,0.103,-0.149,31.,0.113,0.251,-0.025,-0.134,365.
2009,4,0.090,0.124,0.056,-0.014,30.,0.119,0.248,-0.009,-0.091,365.
2009,5,0.045,0.046,0.044,-0.166,31.,0.139,0.256,0.022,-0.056,365.
2009,6,0.001,0.032,-0.030,-0.003,30.,0.148,0.258,0.038,-0.029,365.

